experiment_id,pre_cell_id,post_cell_id,has_synapse,pre_cell_class,post_cell_class,fi_slope_pre,fi_slope_post,psp_amplitude
600,4133,4138,0,in,in,8.230065275570381e-13,1.1049999290466287e-12,
600,4133,4140,0,in,ex,8.230065275570381e-13,1.1314518997244929e-13,
600,4133,4142,0,in,in,8.230065275570381e-13,8.820776966279592e-13,
600,4138,4133,0,in,in,1.1049999290466287e-12,8.230065275570381e-13,
600,4138,4140,1,in,ex,1.1049999290466287e-12,1.1314518997244929e-13,-0.0002042952729320219
600,4138,4142,0,in,in,1.1049999290466287e-12,8.820776966279592e-13,
600,4140,4133,1,ex,in,1.1314518997244929e-13,8.230065275570381e-13,0.0004450050439612529
600,4140,4138,0,ex,in,1.1314518997244929e-13,1.1049999290466287e-12,
600,4140,4142,0,ex,in,1.1314518997244929e-13,8.820776966279592e-13,
600,4142,4133,0,in,in,8.820776966279592e-13,8.230065275570381e-13,
600,4142,4138,0,in,in,8.820776966279592e-13,1.1049999290466287e-12,
600,4142,4140,0,in,ex,8.820776966279592e-13,1.1314518997244929e-13,
605,4162,4167,0,in,ex,8.691428693125058e-13,2.288000000000002e-13,
605,4162,4168,0,in,ex,8.691428693125058e-13,1.3542856001873452e-13,
605,4167,4162,1,ex,in,2.288000000000002e-13,8.691428693125058e-13,
605,4167,4168,0,ex,ex,2.288000000000002e-13,1.3542856001873452e-13,
605,4168,4162,0,ex,in,1.3542856001873452e-13,8.691428693125058e-13,
605,4168,4167,0,ex,ex,1.3542856001873452e-13,2.288000000000002e-13,
606,4169,4171,0,in,in,2.973326949318654e-13,1.1502890676105332e-13,
606,4169,4172,0,in,in,2.973326949318654e-13,7.350254118179975e-14,
606,4171,4169,0,in,in,1.1502890676105332e-13,2.973326949318654e-13,
606,4171,4172,0,in,in,1.1502890676105332e-13,7.350254118179975e-14,
606,4172,4169,0,in,in,7.350254118179975e-14,2.973326949318654e-13,
606,4172,4171,0,in,in,7.350254118179975e-14,1.1502890676105332e-13,
610,4197,4199,0,in,ex,-9.612794295195069e-14,-1.9230708285885797e-15,
610,4197,4201,0,in,ex,-9.612794295195069e-14,7.692308149393981e-14,
610,4199,4197,0,ex,in,-1.9230708285885797e-15,-9.612794295195069e-14,
610,4199,4201,1,ex,ex,-1.9230708285885797e-15,7.692308149393981e-14,3.0371225640104533e-05
610,4201,4197,0,ex,in,7.692308149393981e-14,-9.612794295195069e-14,
610,4201,4199,0,ex,ex,7.692308149393981e-14,-1.9230708285885797e-15,
611,4203,4206,0,in,in,4.5438709677419376e-13,4.915151481801082e-13,
611,4206,4203,0,in,in,4.915151481801082e-13,4.5438709677419376e-13,
614,4224,4225,0,ex,in,1.2500000000000012e-13,6.599999435424805e-13,
614,4224,4227,0,ex,ex,1.2500000000000012e-13,1.9999999999999996e-13,
614,4225,4224,0,in,ex,6.599999435424805e-13,1.2500000000000012e-13,
614,4225,4227,1,in,ex,6.599999435424805e-13,1.9999999999999996e-13,-0.00016789794238207236
614,4227,4224,0,ex,ex,1.9999999999999996e-13,1.2500000000000012e-13,
614,4227,4225,0,ex,in,1.9999999999999996e-13,6.599999435424805e-13,
