experiment_id,pair_id,pre_cell_id,post_cell_id,psp_amplitude
21,877,141,144,
64,2961,450,456,-0.00028570212687873125
66,3097,469,467,
67,3167,475,478,
67,3168,475,479,-0.001035829271332727
67,3170,476,475,
67,3177,477,478,
67,3180,478,475,
67,3185,479,475,-0.0014914914926673789
67,3188,479,478,
79,3729,560,559,0.0009368765641766149
89,4180,631,632,0.0002558681077510131
99,4543,696,697,0.0003526009821865057
99,4644,702,700,0.000779006217003413
99,4651,703,697,0.0006537148933286188
106,4984,753,752,
143,6742,1024,1022,0.00040731670808880977
153,7407,1103,1097,4.94574944600582e-05
162,7672,1160,1162,
170,7941,1216,1220,
179,8485,1281,1292,0.0002666850375518543
179,8596,1292,1291,0.0009822866309735306
185,8772,1331,1332,0.0004735368464734038
185,8783,1332,1331,0.0008815181153571133
185,8804,1334,1331,0.000988639053472522
188,8981,1357,1353,
188,8988,1358,1353,0.00011743148976344845
188,8991,1358,1356,0.0008787668762087789
194,9319,1405,1406,
200,9555,1443,1444,-0.0005531226793822498
200,9557,1444,1443,
200,9558,1444,1445,
207,9912,1496,1495,
207,9926,1498,1495,
218,10486,1583,1582,
228,10940,1650,1656,0.0003964242143361815
228,10977,1656,1650,0.00033397526915259965
254,12134,1832,1836,
255,12162,1843,1840,
254,12171,1836,1832,
259,12422,1875,1874,
263,12564,1900,1904,0.0003738758053751421
267,12753,1927,1928,
267,12754,1927,1929,
267,12755,1927,1930,
267,12756,1927,1931,
269,12812,1941,1940,0.0006105668418053529
271,12933,1957,1959,
271,12935,1957,1960,
273,13085,1976,1977,
273,13087,1976,1979,-0.0009441674492435045
273,13092,1977,1976,
273,13106,1979,1976,0.0005399066962752929
279,13389,2020,2021,
279,13395,2020,2027,
279,13396,2021,2020,-0.0007263356670456737
279,13402,2021,2027,
280,13430,2029,2032,-0.0008286513914758434
280,13465,2032,2029,
284,13529,2052,2055,0.0002150362891773094
284,13534,2055,2052,-0.001325786163753511
287,13683,2065,2064,
290,13740,2092,2093,
290,13750,2092,2097,
289,13834,2081,2082,
291,13879,2099,2100,0.0006128861808718234
291,13881,2100,2099,
292,13925,2107,2108,
296,14025,2131,2134,-0.0013650589204998627
296,14028,2131,2136,-0.001121659643462166
296,14070,2135,2131,-0.0018383957730230467
296,14080,2135,2136,-0.0013260892379152777
296,14089,2136,2131,-0.00047041680494349313
296,14099,2136,2134,-0.0007451485935092725
296,14103,2136,2135,-0.00033988655822254595
300,14258,2161,2158,-0.00041092686732957387
304,14469,2191,2192,-0.00020495914131219838
304,14490,2194,2191,
