dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations,0.25,0,1,-8.5,14.44,q1,"(50, 50)",699,0.034269607872921305,0.5094666430584042,0.0010970587783065647,0.46168169490709854,28062,11938,0.70
oscillations,0.25,0,1,-8.5,14.44,q2,"(50, 150)",2211,-0.009373899713999198,0.4991605553564261,0.0010970587783065647,0.46168169490709854,28062,11938,0.70
oscillations,0.25,0,1,-8.5,14.44,q3,"(150, 50)",2182,0.009949929280976553,0.48189969012539313,0.0010970587783065647,0.46168169490709854,28062,11938,0.70
oscillations,0.25,0,1,-8.5,14.44,q4,"(150, 150)",6846,-0.0017298892245379567,0.4364862914368995,0.0010970587783065647,0.46168169490709854,28062,11938,0.70
oscillations,0.25,1,1,-8.5,14.44,q1,"(50, 50)",760,-0.030571172145529495,0.46016018690552923,0.0005751680911282659,0.44114881478935586,28067,11933,0.70
oscillations,0.25,1,1,-8.5,14.44,q2,"(50, 150)",2254,0.005696062059025519,0.4758725629348777,0.0005751680911282659,0.44114881478935586,28067,11933,0.70
oscillations,0.25,1,1,-8.5,14.44,q3,"(150, 50)",2283,0.013685109086866683,0.45192581253083497,0.0005751680911282659,0.44114881478935586,28067,11933,0.70
oscillations,0.25,1,1,-8.5,14.44,q4,"(150, 150)",6636,-0.002107362306257407,0.4222992307326039,0.0005751680911282659,0.44114881478935586,28067,11933,0.70
oscillations,0.25,2,1,-8.5,14.44,q1,"(50, 50)",753,-0.006045047309255697,0.4925757479378589,0.0012103502291894914,0.4420022924295369,28061,11939,0.70
oscillations,0.25,2,1,-8.5,14.44,q2,"(50, 150)",2210,0.0015388947274249032,0.470517090962719,0.0012103502291894914,0.4420022924295369,28061,11939,0.70
oscillations,0.25,2,1,-8.5,14.44,q3,"(150, 50)",2266,0.010272293768225228,0.42885519258969723,0.0012103502291894914,0.4420022924295369,28061,11939,0.70
oscillations,0.25,2,1,-8.5,14.44,q4,"(150, 150)",6710,-0.0011439169919887518,0.4304871236207881,0.0012103502291894914,0.4420022924295369,28061,11939,0.70
oscillations,0.25,3,1,-8.5,14.44,q1,"(50, 50)",736,0.01567395647860947,0.5411617505459352,0.001631882408950834,0.4592767856388096,28053,11947,0.70
oscillations,0.25,3,1,-8.5,14.44,q2,"(50, 150)",2273,-0.001785477355202305,0.4645826624611259,0.001631882408950834,0.4592767856388096,28053,11947,0.70
oscillations,0.25,3,1,-8.5,14.44,q3,"(150, 50)",2216,0.013422629759762756,0.4791674520137388,0.001631882408950834,0.4592767856388096,28053,11947,0.70
oscillations,0.25,3,1,-8.5,14.44,q4,"(150, 150)",6722,-0.0026370262344213614,0.44052788757940053,0.001631882408950834,0.4592767856388096,28053,11947,0.70
oscillations,0.25,4,1,-8.5,14.44,q1,"(50, 50)",741,-0.00035825108644965367,0.5133222531055208,0.0010727692208856374,0.4539314916454767,28062,11938,0.70
oscillations,0.25,4,1,-8.5,14.44,q2,"(50, 150)",2215,0.0017636517329466864,0.48860113695917834,0.0010727692208856374,0.4539314916454767,28062,11938,0.70
oscillations,0.25,4,1,-8.5,14.44,q3,"(150, 50)",2284,0.006891851667171231,0.46131921258532976,0.0010727692208856374,0.4539314916454767,28062,11938,0.70
