dyn,pqif,cut,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations,0,0.25,0,1,-8.5,14.44,q1,"(50, 50)",745,0.002232196861568599,0.49331810577329455,-0.0002270433039959872,0.46756760328769287,28061,11939,0.70
oscillations,0,0.25,0,1,-8.5,14.44,q2,"(50, 150)",2293,0.0003990600596672553,0.506715542063089,-0.0002270433039959872,0.46756760328769287,28061,11939,0.70
oscillations,0,0.25,0,1,-8.5,14.44,q3,"(150, 50)",2246,0.007621710549922152,0.4331055832451193,-0.0002270433039959872,0.46756760328769287,28061,11939,0.70
oscillations,0,0.25,0,1,-8.5,14.44,q4,"(150, 150)",6655,-0.003366951657433339,0.46168367233210694,-0.0002270433039959872,0.46756760328769287,28061,11939,0.70
oscillations,0,0.25,1,1,-8.5,14.44,q1,"(50, 50)",733,-0.02021679493639323,0.48164087770502506,0.00014198304867326994,0.42653394508639814,28063,11937,0.70
oscillations,0,0.25,1,1,-8.5,14.44,q2,"(50, 150)",2273,0.00518835917040399,0.4613374182829361,0.00014198304867326994,0.42653394508639814,28063,11937,0.70
oscillations,0,0.25,1,1,-8.5,14.44,q3,"(150, 50)",2250,-0.0005422924057412703,0.3924843807090269,0.00014198304867326994,0.42653394508639814,28063,11937,0.70
oscillations,0,0.25,1,1,-8.5,14.44,q4,"(150, 150)",6681,0.0008892051876932572,0.41864563510151764,0.00014198304867326994,0.42653394508639814,28063,11937,0.70
oscillations,0,0.25,2,1,-8.5,14.44,q1,"(50, 50)",752,-0.000422822030720138,0.46944275614755193,-9.634121367087944e-05,0.4280667438605285,28061,11939,0.70
oscillations,0,0.25,2,1,-8.5,14.44,q2,"(50, 150)",2196,0.001174925809666573,0.46139374910892944,-9.634121367087944e-05,0.4280667438605285,28061,11939,0.70
oscillations,0,0.25,2,1,-8.5,14.44,q3,"(150, 50)",2252,0.00046380259090818764,0.40970662023324395,-9.634121367087944e-05,0.4280667438605285,28061,11939,0.70
oscillations,0,0.25,2,1,-8.5,14.44,q4,"(150, 150)",6739,-0.0006613557049514924,0.41782387812323657,-9.634121367087944e-05,0.4280667438605285,28061,11939,0.70
oscillations,0,0.25,3,1,-8.5,14.44,q1,"(50, 50)",775,0.0005579466086006292,0.5234901964942975,-0.0002551799388363609,0.4372721006771604,28049,11951,0.70
oscillations,0,0.25,3,1,-8.5,14.44,q2,"(50, 150)",2183,-0.00017708053090386962,0.4527261474207986,-0.0002551799388363609,0.4372721006771604,28049,11951,0.70
