simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean
oscillations_1_0_0,oscillations,1,-8.5,14.44,0.0,0,0.25544560126347104,-6.776675016020232e-05
oscillations_1_0_1,oscillations,1,-8.5,14.44,0.0,1,0.23300820685982063,4.237129130032066e-05
oscillations_1_0_2,oscillations,1,-8.5,14.44,0.0,2,0.23386513286301652,-2.8755443750415467e-05
oscillations_1_0_3,oscillations,1,-8.5,14.44,0.0,3,0.2390143347404519,-7.624138622583334e-05
oscillations_1_0_4,oscillations,1,-8.5,14.44,0.0,4,0.2340063060936584,-6.571031965961934e-05
oscillations_1_0_5,oscillations,1,-8.5,14.44,0.0,5,0.22828487412812726,-0.00020311639143571697
oscillations_1_0_6,oscillations,1,-8.5,14.44,0.0,6,0.2376644833856543,1.7968737245652312e-05
oscillations_1_0_7,oscillations,1,-8.5,14.44,0.0,7,0.23877754414788335,-0.00011588338429260383
oscillations_1_0_8,oscillations,1,-8.5,14.44,0.0,8,0.234069200350984,-6.962338943862486e-05
oscillations_1_0_9,oscillations,1,-8.5,14.44,0.0,9,0.22840187189878977,2.040122974183256e-05
oscillations_1_0_10,oscillations,1,-8.5,14.44,0.0,10,0.23385717603274417,5.383895327422958e-05
oscillations_1_0_11,oscillations,1,-8.5,14.44,0.0,11,0.23948682886863185,8.431845915247654e-05
oscillations_1_0_12,oscillations,1,-8.5,14.44,0.0,12,0.2339119090866428,-1.7556229781272192e-06
oscillations_1_0_13,oscillations,1,-8.5,14.44,0.0,13,0.2380312320529571,-7.790979411598212e-05
oscillations_1_0_14,oscillations,1,-8.5,14.44,0.0,14,0.23552279365223316,1.2981049336969808e-06
oscillations_1_0_15,oscillations,1,-8.5,14.44,0.0,15,0.23139883058124405,5.3031796764980595e-06
oscillations_1_0_16,oscillations,1,-8.5,14.44,0.0,16,0.2298705008011071,-7.070738107849217e-06
oscillations_1_0_17,oscillations,1,-8.5,14.44,0.0,17,0.2249813299765166,9.615608709199097e-05
oscillations_1_0_18,oscillations,1,-8.5,14.44,0.0,18,0.22803368630152077,0.00028044113376120066
oscillations_1_0_19,oscillations,1,-8.5,14.44,0.0,19,0.22827260752153988,3.408685331877954e-05
oscillations_1_0_20,oscillations,1,-8.5,14.44,0.0,20,0.23922440203171216,-0.00016441467799893379
oscillations_1_0_21,oscillations,1,-8.5,14.44,0.0,21,0.22311671660526686,3.295760084476981e-05
oscillations_1_0_22,oscillations,1,-8.5,14.44,0.0,22,0.24942660934379052,-2.888292085098718e-05
oscillations_1_0_23,oscillations,1,-8.5,14.44,0.0,23,0.2513789428180518,-7.916945188280675e-05
oscillations_1_0_24,oscillations,1,-8.5,14.44,0.0,24,0.2277908134096344,0.0003071894393738751
oscillations_1_0_25,oscillations,1,-8.5,14.44,0.0,25,0.2228189849413707,-7.093234618250813e-05
oscillations_1_0_26,oscillations,1,-8.5,14.44,0.0,26,0.2334053538504833,-0.00014599305231873699
oscillations_1_0_27,oscillations,1,-8.5,14.44,0.0,27,0.23430664745851112,6.54410078978086e-05
oscillations_1_0_28,oscillations,1,-8.5,14.44,0.0,28,0.24099047848464047,0.00019183719249488216
oscillations_1_0_29,oscillations,1,-8.5,14.44,0.0,29,0.23748364954774723,-2.384043207485082e-05
oscillations_1_0_30,oscillations,1,-8.5,14.44,0.0,30,0.2365541187892087,-5.375437110905719e-05
oscillations_1_0_31,oscillations,1,-8.5,14.44,0.0,31,0.25237418548231666,-0.00017256089442296165
oscillations_1_0_32,oscillations,1,-8.5,14.44,0.0,32,0.22999564348667598,-7.98258351912668e-05
oscillations_1_0_33,oscillations,1,-8.5,14.44,0.0,33,0.22960391774922687,0.00011571711859932432
oscillations_1_0_34,oscillations,1,-8.5,14.44,0.0,34,0.24341981136658522,0.0001459175611475768
oscillations_1_0_35,oscillations,1,-8.5,14.44,0.0,35,0.2226461773847795,-3.7928012426525105e-06
oscillations_1_0_36,oscillations,1,-8.5,14.44,0.0,36,0.22451874400015573,-0.00019994192750421842
