simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean,mean_filtered,std_filtered,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations_1_0_0,oscillations,1,-8.5,14.44,0.0,0,0.25544560126347104,-6.776675016020232e-05,-0.00022704330399598647,0.46756760328769287,28061,11939,0.70
oscillations_1_0_1,oscillations,1,-8.5,14.44,0.0,1,0.23300820685982063,4.2371291300320506e-05,0.00014198304867326972,0.42653394508639814,28063,11937,0.70
oscillations_1_0_2,oscillations,1,-8.5,14.44,0.0,2,0.23386513286301652,-2.8755443750416e-05,-9.63412136708793e-05,0.4280667438605285,28061,11939,0.70
oscillations_1_0_3,oscillations,1,-8.5,14.44,0.0,3,0.23901433474045192,-7.62413862258333e-05,-0.00025517993883636116,0.4372721006771604,28049,11951,0.70
oscillations_1_0_4,oscillations,1,-8.5,14.44,0.0,4,0.2340063060936584,-6.571031965961896e-05,-0.00021987726170192114,0.42805629763805464,28046,11954,0.70
oscillations_1_0_5,oscillations,1,-8.5,14.44,0.0,5,0.22828487412812726,-0.0002031163914357169,-0.000680229040307156,0.4177647872136717,28056,11944,0.70
oscillations_1_0_6,oscillations,1,-8.5,14.44,0.0,6,0.2376644833856543,1.7968737245651777e-05,6.020181672050214e-05,0.4350210799397448,28061,11939,0.70
oscillations_1_0_7,oscillations,1,-8.5,14.44,0.0,7,0.23877754414788335,-0.00011588338429260383,-0.00038815402543160017,0.43700340733141113,28058,11942,0.70
oscillations_1_0_8,oscillations,1,-8.5,14.44,0.0,8,0.234069200350984,-6.962338943862528e-05,-0.00023310752302209848,0.4282967611122459,28053,11947,0.70
oscillations_1_0_9,oscillations,1,-8.5,14.44,0.0,9,0.22840187189878977,2.040122974183207e-05,6.83515528665119e-05,0.4180667943905531,28061,11939,0.70
oscillations_1_0_10,oscillations,1,-8.5,14.44,0.0,10,0.23385717603274417,5.383895327422965e-05,0.00018048593119084864,0.4281777022431072,28068,11932,0.70
oscillations_1_0_11,oscillations,1,-8.5,14.44,0.0,11,0.23948682886863185,8.43184591524764e-05,0.000282261140354762,0.4381731737847028,28051,11949,0.70
oscillations_1_0_12,oscillations,1,-8.5,14.44,0.0,12,0.2339119090866428,-1.7556229781276135e-06,-5.882962145019174e-06,0.42818823680706214,28063,11937,0.70
oscillations_1_0_13,oscillations,1,-8.5,14.44,0.0,13,0.2380312320529571,-7.790979411598216e-05,-0.0002612012207391912,0.435838370939974,28069,11931,0.70
oscillations_1_0_14,oscillations,1,-8.5,14.44,0.0,14,0.23552279365223316,1.2981049336968253e-06,4.3520406795631845e-06,0.4312454409930572,28069,11931,0.70
oscillations_1_0_15,oscillations,1,-8.5,14.44,0.0,15,0.23139883058124408,5.303179676498082e-06,1.7752714625485634e-05,0.42337516086034904,28051,11949,0.70
oscillations_1_0_16,oscillations,1,-8.5,14.44,0.0,16,0.22987050080110713,-7.070738107848962e-06,-2.3671704411948724e-05,0.4205964765905965,28052,11948,0.70
oscillations_1_0_17,oscillations,1,-8.5,14.44,0.0,17,0.2249813299765166,9.615608709199149e-05,0.000322265897250076,0.41187475205723945,28065,11935,0.70
oscillations_1_0_18,oscillations,1,-8.5,14.44,0.0,18,0.22803368630152077,0.0002804411337612004,0.0009402099866271075,0.4175320406688753,28069,11931,0.70
oscillations_1_0_19,oscillations,1,-8.5,14.44,0.0,19,0.22827260752153988,3.4086853318779385e-05,0.00011418425029320622,0.41779518915386016,28059,11941,0.70
oscillations_1_0_20,oscillations,1,-8.5,14.44,0.0,20,0.23922440203171216,-0.0001644146779989335,-0.0005504341412753041,0.43771116596991855,28052,11948,0.70
oscillations_1_0_21,oscillations,1,-8.5,14.44,0.0,21,0.22311671660526686,3.295760084477007e-05,0.00011038298867879157,0.4083244432620767,28057,11943,0.70
oscillations_1_0_22,oscillations,1,-8.5,14.44,0.0,22,0.24942660934379052,-2.8882920850987272e-05,-9.678452157489238e-05,0.45658871670279044,28063,11937,0.70
oscillations_1_0_23,oscillations,1,-8.5,14.44,0.0,23,0.2513789428180518,-7.916945188280666e-05,-0.0002653131765509599,0.4601817967321702,28064,11936,0.70
oscillations_1_0_24,oscillations,1,-8.5,14.44,0.0,24,0.2277908134096344,0.00030718943937387537,0.0010288518441727377,0.4168775973981293,28057,11943,0.70
oscillations_1_0_25,oscillations,1,-8.5,14.44,0.0,25,0.2228189849413707,-7.093234618250804e-05,-0.00023782848678125087,0.40800164444209464,28070,11930,0.70
oscillations_1_0_26,oscillations,1,-8.5,14.44,0.0,26,0.2334053538504833,-0.00014599305231873718,-0.0004893758562599077,0.42733236779707146,28067,11933,0.70
oscillations_1_0_27,oscillations,1,-8.5,14.44,0.0,27,0.23430664745851112,6.54410078978084e-05,0.00021925122002783653,0.4288748604890083,28061,11939,0.70
oscillations_1_0_28,oscillations,1,-8.5,14.44,0.0,28,0.24099047848464053,0.0001918371924948819,0.000642778329686319,0.4411271305348751,28062,11938,0.70
oscillations_1_0_29,oscillations,1,-8.5,14.44,0.0,29,0.23748364954774723,-2.3840432074850987e-05,-7.98406968347305e-05,0.43459908489655463,28056,11944,0.70
oscillations_1_0_30,oscillations,1,-8.5,14.44,0.0,30,0.2365541187892087,-5.375437110905672e-05,-0.0001800213366009954,0.43289800679737694,28056,11944,0.70
oscillations_1_0_31,oscillations,1,-8.5,14.44,0.0,31,0.25237418548231666,-0.00017256089442296152,-0.0005778030953388974,0.4618101057922405,28054,11946,0.70
oscillations_1_0_32,oscillations,1,-8.5,14.44,0.0,32,0.22999564348667598,-7.98258351912669e-05,-0.00026719944833897014,0.420790175464782,28050,11950,0.70
oscillations_1_0_33,oscillations,1,-8.5,14.44,0.0,33,0.22960391774922687,0.00011571711859932401,0.0003877594658601802,0.4203021032231694,28063,11937,0.70
oscillations_1_0_34,oscillations,1,-8.5,14.44,0.0,34,0.24341981136658522,0.00014591756114757637,0.0004886314312183383,0.4454435316818432,28055,11945,0.70
oscillations_1_0_35,oscillations,1,-8.5,14.44,0.0,35,0.2226461773847795,-3.792801242652488e-06,-1.2716852448121782e-05,0.40768526669642224,28070,11930,0.70
oscillations_1_0_36,oscillations,1,-8.5,14.44,0.0,36,0.22451874400015576,-0.00019994192750421842,-0.0006705522847462671,0.4111654222891026,28073,11927,0.70
oscillations_1_0_37,oscillations,1,-8.5,14.44,0.0,37,0.23828669844361866,-6.709509925504298e-06,-2.2484952833460038e-05,0.43621479381709183,28064,11936,0.70
oscillations_1_0_38,oscillations,1,-8.5,14.44,0.0,38,0.24065380150228705,0.000267976529818933,0.0008975183113754771,0.4404183174153067,28057,11943,0.70
oscillations_1_0_39,oscillations,1,-8.5,14.44,0.0,39,0.23733581507304302,-1.4524151748486735e-05,-4.8640829700223126e-05,0.43432854854431235,28056,11944,0.70
oscillations_1_0_40,oscillations,1,-8.5,14.44,0.0,40,0.23306927590473145,4.3651712998446646e-05,0.00014629815835256592,0.4266814801622007,28065,11935,0.70
oscillations_1_0_41,oscillations,1,-8.5,14.44,0.0,41,0.22941821954290917,-2.334260513701767e-05,-7.81604056153275e-05,0.4198040655704037,28054,11946,0.70
oscillations_1_0_42,oscillations,1,-8.5,14.44,0.0,42,0.246437485222908,0.00011036948649611194,0.0003699949262357096,0.45121137458329974,28068,11932,0.70
oscillations_1_0_43,oscillations,1,-8.5,14.44,0.0,43,0.23568488996235767,0.00013202853241066998,0.0004416408510141155,0.43105461744536355,28042,11958,0.70
oscillations_1_0_44,oscillations,1,-8.5,14.44,0.0,44,0.23185994806815519,-0.00016166472837228282,-0.0005418626726069476,0.4244851140438424,28066,11934,0.70
oscillations_1_0_45,oscillations,1,-8.5,14.44,0.0,45,0.23091720260424933,-0.00027025560004245095,-0.0009046969622309843,0.4224932789404147,28051,11949,0.70
oscillations_1_0_46,oscillations,1,-8.5,14.44,0.0,46,0.22670689148299436,9.253381044394895e-05,0.00030981438166551825,0.4148252665981944,28053,11947,0.70
oscillations_1_0_47,oscillations,1,-8.5,14.44,0.0,47,0.23244331120861492,-0.00020595081570379793,-0.000690125879882041,0.4254994973731566,28063,11937,0.70
oscillations_1_0_48,oscillations,1,-8.5,14.44,0.0,48,0.24691636985905693,0.00014833537305555347,0.0004971857652272621,0.45205021276788226,28066,11934,0.70
oscillations_1_0_49,oscillations,1,-8.5,14.44,0.0,49,0.23645389238377054,0.00022845392968893962,0.0007652757045103073,0.43276849556567826,28059,11941,0.70
