dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all,mean_all_filtered,std_all_filtered
oscillations,0.25,0,1,-8.5,14.44,q1,"(50, 50)",0.009581782361268798,0.2698304722892612,0.0003274171923855945,0.25221987577723826,0.0010970587783065647,0.4616816949070984
oscillations,0.25,0,1,-8.5,14.44,q2,"(50, 150)",-0.002763425635686963,0.271055357830332,0.0003274171923855945,0.25221987577723826,0.0010970587783065647,0.4616816949070984
oscillations,0.25,0,1,-8.5,14.44,q3,"(150, 50)",0.002894766092145446,0.25996747647968543,0.0003274171923855945,0.25221987577723826,0.0010970587783065647,0.4616816949070984
oscillations,0.25,0,1,-8.5,14.44,q4,"(150, 150)",-0.0005263476280527479,0.24076877871541388,0.0003274171923855945,0.25221987577723826,0.0010970587783065647,0.4616816949070984
oscillations,0.25,1,1,-8.5,14.44,q1,"(50, 50)",-0.009293636332240967,0.2541042198670186,0.00017158702078583942,0.2409518141095148,0.0005751680911282656,0.4411488147893558
oscillations,0.25,1,1,-8.5,14.44,q2,"(50, 150)",0.00171185651747247,0.2608907914673013,0.00017158702078583942,0.2409518141095148,0.0005751680911282656,0.4411488147893558
oscillations,0.25,1,1,-8.5,14.44,q3,"(150, 50)",0.004165747206042218,0.24941808234527477,0.00017158702078583942,0.2409518141095148,0.0005751680911282656,0.4411488147893558
oscillations,0.25,1,1,-8.5,14.44,q4,"(150, 150)",-0.0006215313895255182,0.22934328693689818,0.00017158702078583942,0.2409518141095148,0.0005751680911282656,0.4411488147893558
oscillations,0.25,2,1,-8.5,14.44,q1,"(50, 50)",-0.0018207682495478157,0.27034812503714417,0.00036125928465733325,0.24147915335582226,0.0012103502291894914,0.442002292429537
oscillations,0.25,2,1,-8.5,14.44,q2,"(50, 150)",0.0004534609796812052,0.2554127345288805,0.00036125928465733325,0.24147915335582226,0.0012103502291894914,0.442002292429537
oscillations,0.25,2,1,-8.5,14.44,q3,"(150, 50)",0.003103602357173115,0.23577454786332544,0.00036125928465733325,0.24147915335582226,0.0012103502291894914,0.442002292429537
oscillations,0.25,2,1,-8.5,14.44,q4,"(150, 150)",-0.00034114146738864536,0.2350884230457979,0.00036125928465733325,0.24147915335582226,0.0012103502291894914,0.442002292429537
oscillations,0.25,3,1,-8.5,14.44,q1,"(50, 50)",0.00461441278730263,0.2937138940373627,0.0004874024784933905,0.2510012320201823,0.0016318824089508349,0.45927678563880947
oscillations,0.25,3,1,-8.5,14.44,q2,"(50, 150)",-0.0005411186704499781,0.2557609991985094,0.0004874024784933905,0.2510012320201823,0.0016318824089508349,0.45927678563880947
oscillations,0.25,3,1,-8.5,14.44,q3,"(150, 50)",0.0039659396730179035,0.2605322991297069,0.0004874024784933905,0.2510012320201823,0.0016318824089508349,0.45927678563880947
oscillations,0.25,3,1,-8.5,14.44,q4,"(150, 150)",-0.0007878262376791288,0.2407891191105721,0.0004874024784933905,0.2510012320201823,0.0016318824089508349,0.45927678563880947
oscillations,0.25,4,1,-8.5,14.44,q1,"(50, 50)",-0.0001061856220236784,0.27946618467679885,0.00032016797397331855,0.24798588125626445,0.0010727692208856376,0.4539314916454768
oscillations,0.25,4,1,-8.5,14.44,q2,"(50, 150)",0.0005208651451302546,0.26552945279958534,0.00032016797397331855,0.24798588125626445,0.0010727692208856376,0.4539314916454768
oscillations,0.25,4,1,-8.5,14.44,q3,"(150, 50)",0.0020987985610425456,0.254596637137679,0.00032016797397331855,0.24798588125626445,0.0010727692208856376,0.4539314916454768
oscillations,0.25,4,1,-8.5,14.44,q4,"(150, 150)",-0.00029223532365795825,0.23566959594780273,0.00032016797397331855,0.24798588125626445,0.0010727692208856376,0.4539314916454768
oscillations,0.25,5,1,-8.5,14.44,q1,"(50, 50)",0.0011131844351224092,0.28133341312888627,-0.00015241574837405252,0.2398842016846967,-0.0005106910650831037,0.43910223680967964
oscillations,0.25,5,1,-8.5,14.44,q2,"(50, 150)",-0.0003861582260409112,0.25112461577386347,-0.00015241574837405252,0.2398842016846967,-0.0005106910650831037,0.43910223680967964
oscillations,0.25,5,1,-8.5,14.44,q3,"(150, 50)",0.0005163284951861783,0.24408658267888717,-0.00015241574837405252,0.2398842016846967,-0.0005106910650831037,0.43910223680967964
oscillations,0.25,5,1,-8.5,14.44,q4,"(150, 150)",-0.0004380385796158943,0.22940334569360302,-0.00015241574837405252,0.2398842016846967,-0.0005106910650831037,0.43910223680967964
