dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,0,1,-8.5,14.44,q1,"(50, 50)",9.136675657131916e-05,0.061775965980982596,6.974931047653438e-20,0.06394486769145635
oscillations,0.25,0,1,-8.5,14.44,q2,"(50, 150)",-2.888528396352454e-05,0.06494420941323957,6.974931047653438e-20,0.06394486769145635
oscillations,0.25,0,1,-8.5,14.44,q3,"(150, 50)",-0.001354703562725912,0.06412479362883935,6.974931047653438e-20,0.06394486769145635
oscillations,0.25,0,1,-8.5,14.44,q4,"(150, 150)",0.00043177960471340053,0.06377359517043701,6.974931047653438e-20,0.06394486769145635
oscillations,0.25,1,1,-8.5,14.44,q1,"(50, 50)",0.0004223224296061512,0.06444564082383879,-1.6049063248792382e-19,0.06379764057971682
oscillations,0.25,1,1,-8.5,14.44,q2,"(50, 150)",-0.0001423979798139645,0.0637640269016219,-1.6049063248792382e-19,0.06379764057971682
oscillations,0.25,1,1,-8.5,14.44,q3,"(150, 50)",-0.0006200929764262926,0.0641800855872634,-1.6049063248792382e-19,0.06379764057971682
oscillations,0.25,1,1,-8.5,14.44,q4,"(150, 150)",0.00021333216774882852,0.06360058483253828,-1.6049063248792382e-19,0.06379764057971682
oscillations,0.25,2,1,-8.5,14.44,q1,"(50, 50)",-0.0003081144013515954,0.06361279062894237,-1.9063214678629458e-19,0.06395588914487975
oscillations,0.25,2,1,-8.5,14.44,q2,"(50, 150)",0.00010498196570938854,0.06398431925894052,-1.9063214678629458e-19,0.06395588914487975
oscillations,0.25,2,1,-8.5,14.44,q3,"(150, 50)",0.0004640613624878433,0.06391651677150456,-1.9063214678629458e-19,0.06395588914487975
oscillations,0.25,2,1,-8.5,14.44,q4,"(150, 150)",-0.00015671580438114086,0.06399732926961438,-1.9063214678629458e-19,0.06395588914487975
oscillations,0.25,3,1,-8.5,14.44,q1,"(50, 50)",0.00010068730144680966,0.06643879339776197,3.484838321205606e-20,0.0643479411819463
oscillations,0.25,3,1,-8.5,14.44,q2,"(50, 150)",-3.260266338092903e-05,0.06449915721427182,3.484838321205606e-20,0.0643479411819463
oscillations,0.25,3,1,-8.5,14.44,q3,"(150, 50)",0.0014870981511641353,0.06263589165155677,3.484838321205606e-20,0.0643479411819463
oscillations,0.25,3,1,-8.5,14.44,q4,"(150, 150)",-0.0004902424134156087,0.06461290238266239,3.484838321205606e-20,0.0643479411819463
