ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.25,0.0,0,168.74963562559958,8.066481795637634e-06,1.1043701962272477e-11,1.5038826331000472e-06,4.021598882871801e-09
0.25,0.0,1,168.4150226254866,8.04588942063205e-06,1.021067268071061e-11,1.5276868248892307e-06,3.9685547603820565e-09
0.25,0.0,2,168.24722188822238,8.049421945989491e-06,1.012831693171662e-11,1.5329171571491437e-06,3.99541500957511e-09
0.25,0.0,3,168.15419252596328,8.079536512728126e-06,6.3530978238407605e-12,1.5206512688597064e-06,4.131323597826893e-09
0.25,0.0,4,168.53498869295336,8.07253817153493e-06,4.325338722034089e-12,1.522054533784194e-06,4.007050375488559e-09
0.25,0.0,5,168.21942482655317,8.061212756184894e-06,8.088027252507024e-12,1.5178076655100738e-06,4.0984618811051026e-09
0.25,0.0,6,167.82003666862425,8.068190134582054e-06,1.1902260347080726e-11,1.5567745214156656e-06,4.023838996382205e-09
0.25,0.0,7,167.82416790711082,8.071896071276522e-06,1.564725143426104e-11,1.5337760395463246e-06,4.139842608780253e-09
0.25,0.0,8,167.80850961126134,8.047195342496262e-06,7.199898988473013e-12,1.5478215306335531e-06,4.0459986181035945e-09
0.25,0.0,9,168.2658895161333,8.074411155797608e-06,1.2822778979280766e-11,1.5184303974835048e-06,4.0964512907002125e-09
0.25,0.0,10,168.17375369018052,8.038839788590083e-06,8.578665344919624e-12,1.514781674093558e-06,4.093661087996817e-09
0.25,0.0,11,167.71638836831477,8.040191150789183e-06,6.635995810389493e-12,1.5560179698453502e-06,4.021566756217135e-09
0.25,0.0,12,168.1726937152019,8.02335534129894e-06,8.861894187279662e-12,1.5186182954597694e-06,4.051852165617467e-09
0.25,0.0,13,168.679412840031,8.107499358071802e-06,7.241982942767081e-12,1.5201597107615799e-06,4.022695589528695e-09
0.25,0.0,14,168.21342371310323,8.01547351275711e-06,3.778844003149176e-12,1.5197586375463801e-06,4.02815559460651e-09
0.25,0.1,0,167.76789678481342,8.044097658256252e-06,2.229177262067188e-12,1.5455138606014198e-06,4.0697139010355755e-09
0.25,0.1,1,168.48703422612476,8.117730703239586e-06,4.496376882355493e-12,1.5090791960207405e-06,4.1510867609795585e-09
0.25,0.1,2,168.04816014960878,8.053534495279886e-06,9.549636776679244e-12,1.5432650534514077e-06,4.0070181754298505e-09
0.25,0.1,3,168.028821129702,8.032930776833448e-06,1.3491443785482891e-11,1.5292084958680943e-06,4.049082232415696e-09
0.25,0.1,4,168.30469795718034,8.104487067532507e-06,5.4283323418737755e-12,1.528175789262076e-06,4.0874880067953405e-09
0.25,0.1,5,167.6840121275292,8.018000891757866e-06,2.130731455767822e-11,1.5474445777952365e-06,4.026478474900551e-09
0.25,0.1,6,167.79708265166335,8.102684771824945e-06,8.300432650580651e-12,1.5463775545293967e-06,4.137005513784926e-09
0.25,0.1,7,167.67913209709755,8.074983568936093e-06,3.534935236863749e-12,1.551064844923922e-06,4.111575227826521e-09
0.25,0.1,8,168.73746355445553,8.120761305961652e-06,1.1908780467977019e-11,1.5061420124845539e-06,4.090834968249769e-09
0.25,0.1,9,167.91372911687486,8.097904742116992e-06,1.2187098644613735e-11,1.531894680893768e-06,4.165101344181801e-09
0.25,0.1,10,167.96307542269824,8.04307688331874e-06,1.0413159915954737e-11,1.5442803387426734e-06,4.010149066043095e-09
0.25,0.1,11,168.70604228362367,8.05483954331276e-06,2.4420524808351226e-12,1.5114102258965723e-06,3.9881308447335365e-09
0.25,0.1,12,167.99590530475845,8.01866522621852e-06,9.000597857794199e-12,1.539640612824823e-06,3.98974757447416e-09
0.25,0.1,13,168.13682509945355,8.089603051361257e-06,2.9377144016716994e-12,1.528530951757574e-06,4.114856735103843e-09
0.25,0.1,14,167.80785770376002,8.054620408293622e-06,3.97489520207842e-12,1.5360455626662027e-06,4.119492588766767e-09
0.25,0.12097275924594193,0,168.3584167269237,8.04174099350485e-06,9.271293741657733e-12,1.5089043754756303e-06,4.0739713851943924e-09
0.25,0.12097275924594193,1,168.36068609318258,8.06001151700768e-06,6.295896459682521e-12,1.518719447502637e-06,4.05351431632082e-09
0.25,0.12097275924594193,2,167.74303698402028,8.05397926412729e-06,7.546343438168036e-12,1.5378474055562347e-06,4.124553238939682e-09
0.25,0.12097275924594193,3,168.24132524180564,8.09454966367516e-06,4.514932732576601e-12,1.5230271378205038e-06,4.1180539959145855e-09
0.25,0.12097275924594193,4,168.23981676620585,8.078535106338346e-06,1.353277580157128e-11,1.5063553174552085e-06,4.169861425738888e-09
0.25,0.12097275924594193,5,168.5371741875291,8.024912294170317e-06,4.688204558291242e-12,1.5134460824801714e-06,3.98053284188081e-09
0.25,0.12097275924594193,6,167.91120894600286,8.037825780561116e-06,7.482073085776007e-12,1.5334995726046284e-06,4.074419066193421e-09
0.25,0.12097275924594193,7,168.48841167128347,8.079563683685583e-06,7.703783755332673e-12,1.513604410253089e-06,4.069560382450757e-09
0.25,0.12097275924594193,8,168.26020831813244,8.054553926178637e-06,1.2126166301834636e-11,1.5266077797755778e-06,4.028843327896673e-09
0.25,0.12097275924594193,9,168.7097160172169,8.112099177211692e-06,3.370190744330248e-12,1.505946997302162e-06,4.095912508444887e-09
0.25,0.12097275924594193,10,167.60075788674055,8.000241202722862e-06,4.858060981054519e-12,1.5559249113949046e-06,3.998068096086463e-09
0.25,0.12097275924594193,11,167.7647921236548,8.042467477150166e-06,9.113787669518333e-12,1.5240122881892679e-06,4.169266682038892e-09
0.25,0.12097275924594193,12,167.7569698790069,8.098517066265414e-06,9.17824719981799e-12,1.529213206086122e-06,4.227809131177158e-09
0.25,0.12097275924594193,13,168.054876075367,8.074443461954466e-06,1.0147879843468613e-11,1.5234260221759188e-06,4.134681334120862e-09
0.25,0.12097275924594193,14,168.25421222578296,8.117414187166124e-06,9.051763129751647e-12,1.5285093429329912e-06,4.115489408540317e-09
0.25,0.1463440847957663,0,169.0825112679224,8.121591892290486e-06,6.223054118514012e-12,1.4996546372897936e-06,4.031565457513646e-09
0.25,0.1463440847957663,1,168.46684028202077,8.078261068366547e-06,4.954135896606531e-12,1.5210066842467083e-06,4.039439818223101e-09
0.25,0.1463440847957663,2,168.50229459928278,8.103116488948743e-06,5.76431995158304e-12,1.5044389109207958e-06,4.147609728054857e-09
0.25,0.1463440847957663,3,168.23845280222807,8.114497673517415e-06,6.772699924646774e-12,1.5194801758962265e-06,4.163434392098825e-09
0.25,0.1463440847957663,4,167.94952134779845,8.05792379104858e-06,7.453519329439332e-12,1.5272515913904369e-06,4.124286418203621e-09
0.25,0.1463440847957663,5,167.71825459197427,8.031054035750497e-06,3.585763474922683e-12,1.5397590494173044e-06,4.09230608441642e-09
0.25,0.1463440847957663,6,167.93131710761492,8.115109335529943e-06,7.461356386460789e-12,1.5176549370851694e-06,4.261505794958382e-09
0.25,0.1463440847957663,7,168.00003298170512,8.077627322091274e-06,5.63775418813904e-12,1.5406396520346555e-06,4.073190841327678e-09
0.25,0.1463440847957663,8,167.86432768072723,8.082135472806843e-06,1.4489117585881644e-11,1.515654025200828e-06,4.2354840832995626e-09
0.25,0.1463440847957663,9,168.51117261361586,8.101234932221647e-06,6.169045590524923e-12,1.4990187216046697e-06,4.169159677382042e-09
0.25,0.1463440847957663,10,167.844379290335,8.045014668655684e-06,5.471352672936156e-12,1.5261987494198343e-06,4.142833814420408e-09
0.25,0.1463440847957663,11,168.68598718815966,8.161232937714534e-06,8.821653051912121e-12,1.5148015365058442e-06,4.123434443588921e-09
0.25,0.1463440847957663,12,168.6137674333004,8.17484204178266e-06,1.1499095884642284e-11,1.5138685197528404e-06,4.165877800970529e-09
0.25,0.1463440847957663,13,167.83116397439392,8.040299033024582e-06,2.998229477183327e-12,1.5310920113453376e-06,4.117617773850649e-09
0.25,0.1463440847957663,14,168.1087317939302,8.093075035336031e-06,1.1405916663859782e-11,1.5286946603455951e-06,4.118661369014257e-09
0.25,0.17703647737065947,0,167.99148071656523,8.06117119463855e-06,8.288847860115975e-12,1.5270568771731544e-06,4.117125930193221e-09
0.25,0.17703647737065947,1,168.12709995165415,8.065524451214595e-06,4.735972590261619e-12,1.520350137407507e-06,4.12181491801174e-09
