ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.75,0.0,0,193.87842480634092,2.0258560725154854e-05,8.427815297917347e-13,6.485090480260482e-07,1.0194033165842016e-08
0.75,0.0,1,194.0685828353949,2.0361414094591845e-05,1.1053977245897546e-12,6.709322164953121e-07,1.0045964981140272e-08
0.75,0.0,2,194.15772306559086,2.028568306311208e-05,5.883308553705789e-14,6.460607789720763e-07,1.0073810450896311e-08
0.75,0.0,3,193.86314538724633,2.0394488152474153e-05,2.9397880323017466e-13,6.441275465569288e-07,1.0315200995866308e-08
0.75,0.0,4,194.39933421042613,2.0317740011028026e-05,3.629464973126725e-13,6.412065637602126e-07,9.988139881984767e-09
0.75,0.0,5,193.8661051147055,2.0290490355868923e-05,9.453661304761932e-13,6.56513660188115e-07,1.0181613418505818e-08
0.75,0.0,6,193.85810913325102,2.0328972044221467e-05,3.274646945737549e-13,6.471095875377999e-07,1.0259397015659747e-08
0.75,0.0,7,193.45745460760074,2.035402133697536e-05,1.080175676511917e-12,6.513146356427275e-07,1.0472795834698819e-08
0.75,0.0,8,193.94684667289127,2.0340828596933944e-05,3.6288231576425124e-14,6.452424588480015e-07,1.022869021504643e-08
0.75,0.0,9,194.06393506083322,2.037440058668878e-05,1.6499699732921518e-12,6.394360724438505e-07,1.0214687137598243e-08
0.75,0.0,10,194.19780554594578,2.0319629519881532e-05,1.3072425844612268e-13,6.379228961459005e-07,1.0115174107703785e-08
0.75,0.0,11,193.93788035462313,2.0347667710061694e-05,2.1124140178946227e-13,6.543241661985854e-07,1.0192295374086352e-08
0.75,0.0,12,193.87174183914365,2.031326732059197e-05,4.184263603368643e-14,6.49291955373367e-07,1.0230892560491834e-08
0.75,0.0,13,193.8084264000945,2.0276277819712843e-05,2.0180377162262794e-13,6.653013994065865e-07,1.0160100201967762e-08
0.75,0.0,14,194.0252572861161,2.028469705203128e-05,4.3609358446309293e-13,6.3886761808267e-07,1.0180616806241604e-08
0.75,0.1,0,193.41104636129504,2.0268570241542665e-05,1.2035916956050907e-12,6.707550032391727e-07,1.034260116343095e-08
0.75,0.1,1,194.01975323855268,2.0358175764208557e-05,3.6068608574759514e-14,6.41395348972268e-07,1.021983858865136e-08
0.75,0.1,2,193.99647471536585,2.0373271352234563e-05,1.2260815843289147e-12,6.518292552213009e-07,1.0188837467878595e-08
0.75,0.1,3,193.82682132812482,2.0394500987453147e-05,6.661045685829142e-13,6.476633378272328e-07,1.0316889839775404e-08
0.75,0.1,4,194.08300242566898,2.0447854926770283e-05,4.22377130279616e-13,6.602821798515695e-07,1.0149245306703795e-08
0.75,0.1,5,193.88763145424218,2.0389775810766528e-05,3.363911637404029e-12,6.423756773597892e-07,1.0304381798271327e-08
0.75,0.1,6,193.75245047671663,2.043209482332291e-05,6.095278957581296e-13,6.336129527324319e-07,1.0453218496245215e-08
0.75,0.1,7,193.55457243759636,2.03160108383504e-05,3.758308077600142e-13,6.696357992821712e-07,1.0302848147154669e-08
0.75,0.1,8,194.26289573880953,2.0471036782534386e-05,2.5000801912020334e-13,6.252798571790844e-07,1.0242280272839336e-08
0.75,0.1,9,193.91169604592014,2.0391988071640025e-05,2.611624879082738e-12,6.393836521029918e-07,1.0308516492201056e-08
0.75,0.1,10,193.96375113045238,2.033654276254949e-05,9.198405936755417e-16,6.412922115670575e-07,1.0236546262194736e-08
0.75,0.1,11,193.5608328218608,2.0244711989971183e-05,2.3572529239528143e-12,6.522895667522587e-07,1.0336582240532005e-08
0.75,0.1,12,193.968903931776,2.0260774906690816e-05,3.8739285022873453e-13,6.441205427625349e-07,1.0168998519539751e-08
0.75,0.1,13,194.01148295394648,2.045159187363815e-05,7.452676095888028e-15,6.412304977298325e-07,1.0286895421489115e-08
0.75,0.1,14,193.83246610780446,2.0432197503843504e-05,3.389918127345752e-15,6.408205167655509e-07,1.0373952459614568e-08
0.75,0.12097275924594193,0,193.92179144597023,2.035021796194685e-05,2.656335755472102e-14,6.3649177701916e-07,1.0292501518963387e-08
0.75,0.12097275924594193,1,193.83355110804746,2.0240463825585334e-05,4.599595134678305e-14,6.543074073689309e-07,1.0178024983360731e-08
0.75,0.12097275924594193,2,194.03502158428512,2.039703773421425e-05,7.844343987432495e-13,6.328932655902679e-07,1.0279100901006523e-08
0.75,0.12097275924594193,3,193.61336874115824,2.026584720006872e-05,1.5906354963131563e-12,6.360269619675015e-07,1.0404689619291779e-08
