ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0,0.0,0,199.66282250062542,4.569097467470934e-06,2.3234437117077993e-11,6.5357967643175165e-09,2.2912696325954606e-09
0,0.0,1,199.2302376024598,4.525909955304427e-06,2.7705953405153404e-11,7.104651267666818e-09,2.3112292143665277e-09
0,0.0,2,199.67808427395198,4.507146739736647e-06,2.1079442072455245e-11,8.392885689623311e-09,2.250541714140689e-09
0,0.0,3,199.5767263414044,4.534731609373505e-06,1.9247789842792036e-11,6.525190251179159e-09,2.2875188913816334e-09
0,0.0,4,199.9385578027299,4.547246245587867e-06,1.8377150207085508e-11,6.9312219925080786e-09,2.251348824968066e-09
0,0.0,5,199.44120213897057,4.544374611764712e-06,2.6329982053543214e-11,7.82320360596401e-09,2.294427780494554e-09
0,0.0,6,199.32761186282758,4.5187566954213015e-06,3.220454973761559e-11,6.815097712698735e-09,2.293277309886152e-09
0,0.0,7,199.21585893438655,4.533485446349118e-06,3.308792626503602e-11,8.084415818058575e-09,2.3065368315040426e-09
0,0.0,8,199.37167073020726,4.504525882371939e-06,2.784422477799498e-11,8.642987583993644e-09,2.276016339041357e-09
0,0.0,9,199.31309595257602,4.548342773324791e-06,2.825384149665218e-11,7.217335657689038e-09,2.3123408856053746e-09
0,0.0,10,199.41021323911107,4.526900128907783e-06,2.6247659822320525e-11,6.695836392240588e-09,2.294644045601347e-09
0,0.0,11,199.9918641254412,4.498289243299987e-06,2.649221078581351e-11,7.422928024200736e-09,2.209896008098042e-09
0,0.0,12,199.7509410420172,4.538432016245826e-06,2.538499108518341e-11,7.644652001422904e-09,2.2577056629039947e-09
0,0.0,13,199.2054506644495,4.569946463289016e-06,1.7419095823067377e-11,6.580271324875993e-09,2.350158661880126e-09
0,0.0,14,199.79231986397153,4.525030884968758e-06,1.852400565074962e-11,7.467633259691851e-09,2.2539053151914853e-09
0,0.1,0,199.62977204703634,4.521230328351065e-06,1.2153573705860931e-11,6.186064180922601e-09,2.2833238768110147e-09
0,0.1,1,199.26350933075457,4.582921932641563e-06,2.0224126466141113e-11,8.00970088168003e-09,2.3402406142277406e-09
0,0.1,2,199.46803224636193,4.5388617559723575e-06,3.2786313411576214e-11,7.442440167458379e-09,2.2839237141926054e-09
0,0.1,3,199.304318935911,4.5156446068729876e-06,2.8767579304511976e-11,6.36284554655404e-09,2.3000328079082963e-09
0,0.1,4,199.31856508928664,4.574873801587976e-06,1.6057095223590074e-11,9.003882455503213e-09,2.328836096618915e-09
0,0.1,5,199.3992357879799,4.517269900979308e-06,4.265887296219567e-11,7.637732968419016e-09,2.2697010006452745e-09
0,0.1,6,199.30156002183918,4.550693191787255e-06,3.404982885921658e-11,7.808042236088247e-09,2.3061184014906243e-09
0,0.1,7,199.45259273956293,4.507458375608276e-06,2.020755387152376e-11,9.090586482344385e-09,2.2737338200022444e-09
0,0.1,8,199.31247368135354,4.548527956503055e-06,2.955745406194241e-11,8.088763927165741e-09,2.3068249995038865e-09
0,0.1,9,199.36326879075904,4.540746626056554e-06,2.6678102343301763e-11,7.194146971288984e-09,2.3043030536765363e-09
0,0.1,10,199.09335119087697,4.504318731207106e-06,2.7553337724683104e-11,7.883733660249969e-09,2.311770941144768e-09
0,0.1,11,199.61977824834494,4.5199611392989566e-06,1.5344723770848044e-11,8.189443215860482e-09,2.2705449758414712e-09
0,0.1,12,199.10937751167975,4.491518031635446e-06,2.6240315743298397e-11,6.738430510237578e-09,2.310253623983294e-09
0,0.1,13,199.68355880423465,4.521797128895877e-06,1.0269972916586596e-11,6.235080454622894e-09,2.2791258401173172e-09
0,0.1,14,198.84621969050755,4.521445266646024e-06,2.5296471813687362e-11,9.175231795882785e-09,2.3449742959015084e-09
0,0.12097275924594193,0,199.19678697025464,4.521150904193195e-06,2.7205285667495164e-11,6.457997459780383e-09,2.316314079511487e-09
0,0.12097275924594193,1,199.83728604564783,4.538602442877593e-06,1.7825036275666866e-11,6.574719832550676e-09,2.2608798658400514e-09
0,0.12097275924594193,2,199.28225581186902,4.5513803213787595e-06,2.8405178630021868e-11,7.48889621682564e-09,2.315965982062121e-09
0,0.12097275924594193,3,198.97815762104753,4.53627402996133e-06,2.6643617974992187e-11,7.130466123438538e-09,2.3466077733606452e-09
0,0.12097275924594193,4,199.21268660044194,4.560980953924591e-06,3.059394366645153e-11,7.320174137702781e-09,2.3276796699721446e-09
0,0.12097275924594193,5,199.7004722872298,4.540841603925912e-06,1.7796546405666736e-11,5.832209355041444e-09,2.2814314983682036e-09
0,0.12097275924594193,6,199.1884000021562,4.5299665077810715e-06,2.0808236176940227e-11,7.913008707316756e-09,2.321019161957374e-09
0,0.12097275924594193,7,199.3613592879054,4.529753969584387e-06,1.4729961599052637e-11,6.923446542719845e-09,2.3121388678710786e-09
0,0.12097275924594193,8,199.60315107039753,4.564670318648331e-06,2.4340151915209626e-11,8.068948899059922e-09,2.2870578576189376e-09
0,0.12097275924594193,9,199.39377899834406,4.566734288937849e-06,1.72545112771208e-11,7.434706150875907e-09,2.32257282162746e-09
0,0.12097275924594193,10,199.10459660121748,4.476859969169731e-06,1.802372347440778e-11,9.43760635818463e-09,2.2977470013341262e-09
