ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
1,0.0,0,199.92494373919163,2.4660204781137893e-05,2.9577055229703037e-12,5.206408940536111e-09,1.24776028360452e-08
1,0.0,1,200.3009530202719,2.4774455691181726e-05,4.0952047715627e-13,4.947905955867083e-09,1.2305541540239857e-08
1,0.0,2,200.3136970704334,2.460021105816185e-05,3.588406830177677e-15,6.0899975151757304e-09,1.2205657901130338e-08
1,0.0,3,199.89964663639427,2.4734978119188306e-05,7.475609348167883e-15,6.330166513115821e-09,1.2528658272935259e-08
1,0.0,4,200.24746819430715,2.466356894547756e-05,1.0369963234354745e-13,7.264207718494412e-09,1.2272108214661757e-08
1,0.0,5,200.10782375860938,2.4651336085910677e-05,1.999316243802026e-13,5.519527436721738e-09,1.2361045866697578e-08
1,0.0,6,200.21034182629407,2.4678457744627833e-05,8.751674946839303e-14,5.952423167847101e-09,1.2309124141000111e-08
1,0.0,7,200.06554622594513,2.4674596191009004e-05,1.238714146980115e-12,6.586750453344796e-09,1.2392503539372832e-08
1,0.0,8,200.0358200071023,2.464696557306167e-05,1.1494098607790003e-13,5.252290784682371e-09,1.240486188143095e-08
1,0.0,9,200.02389762520772,2.47438695849535e-05,1.0455703416993498e-13,6.325264112926328e-09,1.2455773778439347e-08
1,0.0,10,200.33759593362242,2.4664294287305696e-05,9.15907966748336e-15,5.3422590942657506e-09,1.22265119457058e-08
1,0.0,11,200.19875198016487,2.47235372960901e-05,1.6246480839888156e-13,6.865459256289281e-09,1.2334185976060924e-08
1,0.0,12,200.26154859513042,2.469509175883463e-05,3.027719312329485e-13,6.436078433612283e-09,1.228307019109043e-08
1,0.0,13,200.35057741478306,2.4659408788485022e-05,5.4687418494728814e-12,6.034090301907671e-09,1.220701468065285e-08
1,0.0,14,199.98310478007386,2.4604116264004687e-05,8.544219404612661e-13,7.4174675562260186e-09,1.2404207045216628e-08
1,0.0,15,199.91727233274577,2.4779352045459324e-05,3.122973364213162e-14,6.152718913981822e-09,1.2541065226495977e-08
1,0.0,16,200.15084127007876,2.4774156486914217e-05,6.648454926277152e-14,4.507550044023347e-09,1.2401241613988108e-08
1,0.0,17,200.19136205330602,2.47005042512051e-05,1.2368239555647314e-12,6.434497473310289e-09,1.232829654210601e-08
